CustomerID,Name,Age,Gender,City,State,Income,SignupDate
CUST000001,Ishaan Nair,57,M,Delhi,Delhi,147706,2023-09-23
CUST000002,Sai Saxena,20,M,Chandigarh,Punjab,125236,2025-01-28
CUST000003,Priya Singh,27,M,Pune,Maharashtra,15941,2024-01-02
CUST000004,Advik Kumar,35,M,Bhopal,Madhya Pradesh,70436,2026-03-24
CUST000005,Anaya Rao,25,M,Bhopal,Madhya Pradesh,65611,2023-08-13
CUST000006,Zara Joshi,63,F,Pune,Maharashtra,153912,2026-01-02
CUST000007,Zara Saxena,51,F,Surat,Gujarat,188516,2025-02-16
CUST000008,Ira Chauhan,22,F,Ahmedabad,Gujarat,171266,2024-10-07
CUST000009,Manish Menon,55,M,Nagpur,Maharashtra,41645,2024-06-03
CUST000010,Advik Nair,28,M,Mumbai,Maharashtra,96195,2026-06-29
CUST000011,Neha Agarwal,56,M,Bengaluru,Karnataka,183528,2023-09-20
CUST000012,Sai Trivedi,68,M,Jaipur,Rajasthan,151819,2023-11-14
CUST000013,Aarav Gupta,21,F,Bengaluru,Karnataka,111323,2025-12-05
CUST000014,Vihaan Rana,39,M,Chennai,Tamil Nadu,180089,2025-02-26
CUST000015,Saanvi Bose,50,M,Bhopal,Madhya Pradesh,29969,2024-10-25
CUST000016,Navya Kulkarni,63,F,Delhi,Delhi,197054,2023-11-29
CUST000017,Neha Verma,52,F,Patna,Bihar,179621,2024-08-20
CUST000018,Rohan Chauhan,37,O,Pune,Maharashtra,137185,2024-04-16
CUST000019,Myra Mishra,20,F,Bengaluru,Karnataka,189244,2024-10-03
CUST000020,Meera Chauhan,44,M,Chandigarh,Punjab,183929,2024-08-20
CUST000021,Yash Bose,40,F,Nagpur,Maharashtra,139419,2026-02-08
CUST000022,Krishna Singh,67,M,Bengaluru,Karnataka,51071,2026-01-08
CUST000023,Ananya Malhotra,44,F,Chennai,Tamil Nadu,68492,2026-03-26
CUST000024,Anaya Kapoor,67,M,Panipat,Haryana,65827,2025-05-27
CUST000025,Tara Malhotra,47,M,Rohtak,Haryana,71731,2025-07-03
CUST000026,Aadhya Chopra,26,F,Chandigarh,Punjab,53108,2024-08-07
CUST000027,Rohan Mehta,22,F,Jaipur,Rajasthan,96494,2026-05-09
CUST000028,Suresh Bhatt,53,F,Kolkata,West Bengal,139976,2024-04-08
CUST000029,Neha Menon,27,O,Bhopal,Madhya Pradesh,103582,2025-07-28
CUST000030,Yash Saxena,40,F,Chandigarh,Punjab,148546,2026-04-13
CUST000031,Arjun Gupta,53,M,Chennai,Tamil Nadu,174876,2023-12-27
CUST000032,Rohan Iyer,25,F,Mumbai,Maharashtra,187051,2025-11-17
CUST000033,Krishna Bhat,23,F,Delhi,Delhi,187037,2024-01-12
CUST000034,Aryan Kulkarni,19,M,Rohtak,Haryana,141958,2024-09-25
CUST000035,Suresh Bhatt,34,M,Ahmedabad,Gujarat,69602,2024-10-21
CUST000036,Meera Chopra,44,F,Jaipur,Rajasthan,27002,2023-11-25
CUST000037,Ira Chopra,38,M,Jaipur,Rajasthan,21593,2025-04-24
CUST000038,Kabir Agarwal,22,F,Nagpur,Maharashtra,169499,2026-03-20
CUST000039,Yash Kulkarni,47,F,Pune,Maharashtra,107534,2023-11-05
CUST000040,Advik Chopra,66,F,Pune,Maharashtra,55084,2025-02-23
CUST000041,Neha Bhat,29,M,Hyderabad,Telangana,75025,2024-12-09
CUST000042,Aarohi Mehta,30,F,Jaipur,Rajasthan,131872,2025-04-08
CUST000043,Saanvi Rao,20,F,Patna,Bihar,128187,2025-08-22
CUST000044,Myra Bhatt,40,M,Jaipur,Rajasthan,187585,2023-10-13
CUST000045,Priya Kulkarni,26,M,Ahmedabad,Gujarat,31780,2023-09-01
CUST000046,Advik Pillai,55,M,Panipat,Haryana,141793,2026-04-02
CUST000047,Myra Chauhan,47,M,Delhi,Delhi,193576,2025-10-14
CUST000048,Suresh Shetty,44,F,Chandigarh,Punjab,94916,2024-05-21
CUST000049,Anika Nair,22,M,Lucknow,Uttar Pradesh,107170,2026-05-23
CUST000050,Priya Kulkarni,37,F,Jaipur,Rajasthan,88816,2024-01-17
CUST000051,Advik Desai,47,M,Nagpur,Maharashtra,46260,2023-07-12
CUST000052,Anika Bhat,50,O,Hyderabad,Telangana,20718,2024-09-03
CUST000053,Aarohi Bose,68,M,Rohtak,Haryana,127091,2024-10-09
CUST000054,Krishna Saxena,28,M,Chennai,Tamil Nadu,156013,2025-02-09
CUST000055,Navya Trivedi,64,M,Lucknow,Uttar Pradesh,185570,2024-05-15
CUST000056,Kiara Rana,43,M,Lucknow,Uttar Pradesh,20806,2025-11-02
CUST000057,Reyansh Reddy,40,M,Indore,Madhya Pradesh,149862,2024-06-23
CUST000058,Tara Kumar,68,F,Ahmedabad,Gujarat,183838,2023-08-15
CUST000059,Yash Saxena,32,M,Chennai,Tamil Nadu,179366,2025-03-07
CUST000060,Diya Agarwal,58,F,Mumbai,Maharashtra,102606,2026-01-17
CUST000061,Anaya Mishra,46,F,Kolkata,West Bengal,18843,2024-05-14
CUST000062,Ananya Gupta,35,F,Nagpur,Maharashtra,16973,2025-01-19
CUST000063,Anika Verma,31,F,Mumbai,Maharashtra,52250,2024-01-13
CUST000064,Sai Das,65,M,Panipat,Haryana,116628,2024-11-02
CUST000065,Priya Kapoor,58,F,Lucknow,Uttar Pradesh,166936,2023-10-20
CUST000066,Navya Shetty,63,F,Delhi,Delhi,83734,2023-10-10
CUST000067,Ananya Bhatt,57,M,Chennai,Tamil Nadu,34505,2024-07-12
CUST000068,Diya Trivedi,32,F,Lucknow,Uttar Pradesh,120629,2024-03-21
CUST000069,Anaya Joshi,64,F,Chennai,Tamil Nadu,71806,2024-01-17
CUST000070,Kavya Menon,66,M,Pune,Maharashtra,20916,2024-12-31
CUST000071,Reyansh Kumar,58,F,Bhopal,Madhya Pradesh,103365,2025-01-20
